메인 직무 분류,상세 직무 분류
건설·시설,연관공
건설·시설,측량·계측
식·음료,식품가공·개발
식·음료,식품 MD
식·음료,외식업 종사자
식·음료,요리사
식·음료,레스토랑 관리자
식·음료,영양사
식·음료,메뉴개발
식·음료,제과·제빵사
식·음료,바텐더
식·음료,푸드스타일리스트
식·음료,소믈리에
식·음료,바리스타
공공·복지,환경 전문가
공공·복지,카운셀러
공공·복지,소방관
공공·복지,정보 분석가
공공·복지,인명 구조원
공공·복지,지역 전문가
공공·복지,공무원
공공·복지,직업군인
공공·복지,자원봉사자
공공·복지,사회복지사
공공·복지,응급구조사
공공·복지,요양보호사
정보보호,보안 엔지니어
정보보호,정보보호 담당자
정보보호,정보보호 컨설팅
정보보호,개인정보 담당자
정보보호,보안관제
정보보호,CISO/CPO
정보보호,모의해킹/취약점 진단
